time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,
2022-01-10T18:29:47.778Z,35.5088,44.8992,10,4.5,mb,,110,0.48,0.99,us,us7000gamy,2022-01-13T10:23:18.225Z,"6 km ESE of Jamjam?l, Iraq",earthquake,5.2,1.7,0.096,32,reviewed,us,us,
2021-11-28T16:11:20.633Z,34.3978,45.7435,10,4.3,mb,,75,0.717,0.89,us,us7000fxrx,2021-12-05T18:17:34.040Z,"13 km WSW of Sarpol-e Z?ah?b, Iran",earthquake,5.7,1.9,0.137,18,reviewed,us,us,
2021-09-28T11:46:12.021Z,34.5294,45.3747,10,4.3,mb,,71,0.651,0.44,us,us6000fqtc,2021-12-04T14:28:51.040Z,"41 km ESE of Kifr?, Iraq",earthquake,2.1,1.9,0.093,33,reviewed,us,us,2022-01-10T18:29:47.778Z
2021-09-28T08:58:23.893Z,34.4735,45.5293,10,4.3,mb,,65,0.66,0.76,us,us6000fqtd,2021-12-04T14:28:51.040Z,"30 km W of Sarpol-e Z?ah?b, Iran",earthquake,7,1.9,0.161,11,reviewed,us,us,10
2021-09-24T23:43:12.390Z,36.7164,42.4005,10,4.4,mb,,104,0.4,0.93,us,us7000fe95,2021-12-04T14:29:26.040Z,"51 km S of Ã‡iftlikkÃ¶yÃ¼, Turkey",earthquake,2.7,1.9,0.13,17,reviewed,us,us,
2021-09-08T15:43:01.607Z,34.6514,45.35,10,4.5,mb,,46,0.555,0.78,us,us7000f9ah,2021-11-17T17:28:58.040Z,"35 km E of Kifr?, Iraq",earthquake,5.6,1.9,0.079,47,reviewed,us,us,
2021-08-05T10:33:24.499Z,32.6903,47.4869,10,4.1,mb,,98,2.831,0.72,us,us6000f2ei,2021-10-14T01:07:42.040Z,"20 km E of Dehlor?n, Iran",earthquake,8.8,1.9,0.14,14,reviewed,us,us,
2021-08-02T08:31:37.448Z,29.0413,47.5342,10,4.3,mb,,86,2.953,0.64,us,us6000f1m7,2021-10-14T01:05:48.040Z,"34 km SSW of Al Jahr?â€™, Kuwait",earthquake,5.3,1.9,0.094,32,reviewed,us,us,
2021-07-31T23:41:21.937Z,34.4176,45.3329,10,4.3,mb,,121,0.767,0.36,us,us6000f2u7,2021-10-14T01:08:15.040Z,"45 km SE of Kifr?, Iraq",earthquake,6.3,2,0.201,7,reviewed,us,us,
2021-07-18T22:09:22.292Z,34.7738,39.6992,10,4.4,mb,,107,2.68,0.67,us,us7000en9w,2021-11-29T12:36:18.956Z,"73 km WSW of Al May?d?n, Syria",earthquake,6.8,1.9,0.169,10,reviewed,us,us,
2021-07-09T17:31:11.677Z,36.8268,45.2089,10,4.2,mb,,85,1.211,0.82,us,us6000ettz,2021-09-17T22:49:02.040Z,"15 km NNE of Piranshahr, Iran",earthquake,5.8,1.9,0.086,40,reviewed,us,us,
2021-07-09T15:41:19.448Z,36.8499,45.1506,10,4.9,mb,,70,1.242,0.96,us,us6000etsj,2021-09-17T22:48:58.040Z,"16 km N of Piranshahr, Iran",earthquake,5.3,1.5,0.043,170,reviewed,us,us,
2021-06-20T13:21:00.166Z,32.5765,47.7332,10,4.3,mb,,92,3.037,0.72,us,us6000epd7,2021-08-27T18:57:49.040Z,"45 km ESE of Dehlor?n, Iran",earthquake,8.9,1.9,0.114,22,reviewed,us,us,
2021-06-06T16:40:24.622Z,33.3907,45.8621,10,4.1,mb,,112,1.725,0.91,us,us7000ebt6,2021-08-24T21:33:26.040Z,"41 km NW of Mehr?n, Iran",earthquake,6.9,1.9,0.261,6,reviewed,us,us,
2021-06-06T04:54:23.713Z,33.4017,46.1288,10,5.3,mb,,52,1.744,1.17,us,us7000eab7,2021-08-24T21:35:00.040Z,"31 km N of Mehr?n, Iran",earthquake,5.9,1.8,0.032,334,reviewed,us,us,
2021-05-21T23:50:42.173Z,35.1339,46.3272,10,4.4,mb,,95,0.858,0.66,us,us7000e57h,2021-07-31T22:08:18.040Z,"10 km NNW of P?veh, Iran",earthquake,8.6,1.9,0.087,38,reviewed,us,us,
2021-05-07T19:48:45.020Z,35.2766,46.4434,10,4.4,mb,,58,0.613,0.92,us,us7000e15j,2022-01-13T11:21:16.051Z,Iran-Iraq border region,earthquake,4.9,1.9,0.059,90,reviewed,us,us,
2021-04-26T10:09:55.785Z,34.3626,45.845,10,4.8,mb,,40,0.759,0.93,us,us6000e4x8,2021-07-07T18:35:23.040Z,"11 km S of Sarpol-e Z?ah?b, Iran",earthquake,5.3,1.2,0.044,158,reviewed,us,us,
2021-04-06T15:12:25.757Z,35.6618,45.9925,10,5.2,mww,,37,0.427,0.56,us,us6000dzgg,2021-06-12T21:37:48.040Z,"6 km NE of Baynjiwayn, Iraq",earthquake,6.3,1.8,0.059,28,reviewed,us,us,
2021-03-31T20:34:23.280Z,33.1252,47.1113,10,4.3,mb,,79,1.134,0.92,us,us6000dy1m,2021-06-08T17:59:28.040Z,"25 km W of Darreh Shahr, Iran",earthquake,6.5,1.9,0.087,41,reviewed,us,us,
2021-03-23T12:06:47.010Z,33.7632,48.5339,10,4.3,mb,,46,2.098,0.67,us,us6000dvp9,2021-06-02T15:22:20.040Z,"25 km SW of Bor?jerd, Iran",earthquake,6.9,1.9,0.083,44,reviewed,us,us,
2021-03-14T22:51:15.765Z,34.2243,45.5326,10,4,mb,,76,0.903,0.75,us,us7000djd7,2021-05-26T22:07:20.040Z,"40 km SW of Sarpol-e Z?ah?b, Iran",earthquake,4.1,2,0.183,8,reviewed,us,us,
2021-03-14T21:52:50.713Z,34.208,45.5762,10,4.1,mb,,73,0.914,0.45,us,us7000djcz,2021-05-26T22:07:20.040Z,"38 km SW of Sarpol-e Z?ah?b, Iran",earthquake,4.4,1.9,0.151,12,reviewed,us,us,
2021-03-14T21:36:23.027Z,34.1576,45.6628,10,4,mb,,77,0.958,0.81,us,us6000dvt4,2021-05-26T22:07:19.040Z,"38 km SSW of Sarpol-e Z?ah?b, Iran",earthquake,6.3,2,0.156,11,reviewed,us,us,
2021-02-21T01:51:35.546Z,32.5596,47.6398,10,4.2,mb,,92,3.009,0.68,us,us7000ddm8,2021-05-04T14:15:38.040Z,"37 km ESE of Dehlor?n, Iran",earthquake,5.8,2,0.124,18,reviewed,us,us,
2021-02-11T22:10:35.277Z,34.717,45.3393,10,4.8,mb,,51,0.507,0.91,us,us6000dgta,2021-04-22T21:53:44.040Z,"34 km E of Kifr?, Iraq",earthquake,5.5,1.9,0.079,50,reviewed,us,us,
2021-01-26T11:17:40.769Z,36.172,41.062,10,4.9,mb,,84,1.161,0.65,us,us7000d3ec,2021-04-13T17:07:39.040Z,"46 km SE of Al ?asakah, Syria",earthquake,4.2,1.9,0.085,44,reviewed,us,us,
2020-12-07T22:24:49.135Z,34.3346,45.6195,9.15,4.4,mb,,78,0.784,0.51,us,us7000cpv8,2021-02-12T22:41:05.040Z,"26 km WSW of Sarpol-e Z?ah?b, Iran",earthquake,5.7,5,0.134,16,reviewed,us,us,
2020-11-09T23:18:25.241Z,35.4692,45.1058,10,4.9,mb,,40,0.337,0.86,us,us7000ccpb,2021-01-23T22:25:40.040Z,"25 km ESE of Jamjam?l, Iraq",earthquake,5,1.8,0.056,99,reviewed,us,us,
2020-10-19T03:44:33.999Z,34.4725,46.1515,10,4.1,mb,,121,0.734,0.84,us,us6000cc1s,2020-12-29T23:07:38.040Z,"26 km E of Sarpol-e Z?ah?b, Iran",earthquake,6.3,2,0.234,5,reviewed,us,us,
2020-10-07T21:13:17.519Z,32.366,48.5756,10,4.3,mb,,84,3.631,0.84,us,us6000c7ta,2020-12-19T17:22:48.040Z,"9 km E of Shahrak-e K?l?r?, Iran",earthquake,8.2,1.7,0.168,10,reviewed,us,us,
2020-09-02T17:19:19.733Z,32.3226,48.4271,10,4.1,mb,,118,3.585,1.02,us,us7000bjp4,2020-11-17T19:44:23.040Z,"5 km SW of Shahrak-e K?l?r?, Iran",earthquake,5.7,2,0.14,14,reviewed,us,us,
2020-08-26T00:42:01.173Z,34.6268,45.6281,10,4.3,mb,,111,0.494,0.93,us,us7000bftb,2020-11-07T18:48:43.040Z,"28 km NW of Sarpol-e Z?ah?b, Iran",earthquake,5.4,1.9,0.119,20,reviewed,us,us,
2020-08-09T09:16:19.840Z,34.2257,45.5918,10,5,mb,,42,0.895,0.66,us,us6000bbdp,2020-10-21T22:04:01.040Z,"36 km SW of Sarpol-e Z?ah?b, Iran",earthquake,4.2,1.9,0.051,121,reviewed,us,us,
2020-07-16T22:33:29.825Z,35.5678,40.594,10,4.2,mb,,61,3.165,0.87,us,us7000aq0j,2020-09-26T16:58:33.040Z,"48 km ENE of Deir ez-Zor, Syria",earthquake,6.5,1.9,0.077,47,reviewed,us,us,
2020-07-08T07:10:38.314Z,34.2731,45.5909,10,4.3,mb,,66,0.848,0.63,us,us7000ajxw,2020-09-19T20:57:56.040Z,"32 km SW of Sarpol-e Z?ah?b, Iran",earthquake,6.7,1.8,0.137,15,reviewed,us,us,
